101 	Russell Crowe 	$4,118,576,248 	42 	$98,061,339
102 	Paul Walker 	$4,078,244,251 	16 	$254,890,266
103 	Kristen Stewart 	$4,044,795,374 	28 	$144,456,978
104 	Angelina Jolie 	$4,036,056,360 	23 	$175,480,711
105 	Michelle Rodriguez 	$4,030,512,312 	17 	$237,088,960
106 	Colin Farrell 	$4,013,803,097 	35 	$114,680,088
107 	John Travolta 	$3,998,728,314 	52 	$76,898,621
108 	Evangeline Lilly 	$3,937,817,369 	7 	$562,545,338
109 	Nicole Kidman 	$3,937,093,452 	54 	$72,909,138
110 	Anne Hathaway 	$3,879,106,140 	31 	$125,132,456
111 	Seth Rogen 	$3,725,246,626 	24 	$155,218,609
112 	Taylor Lautner 	$3,688,459,899 	10 	$368,845,990
113 	Viggo Mortensen 	$3,686,347,783 	25 	$147,453,911
114 	Pierce Brosnan 	$3,663,675,656 	34 	$107,755,166
115 	Cate Blanchett 	$3,656,299,422 	27 	$135,418,497
116 	Michael Douglas 	$3,616,668,271 	35 	$103,333,379
117 	John Leguizamo 	$3,572,765,719 	23 	$155,337,640
118 	Michelle Pfeiffer 	$3,571,541,941 	36 	$99,209,498
119 	Angela Bassett 	$3,558,412,483 	15 	$237,227,499
120 	Chiwetel Ejiofor 	$3,547,764,861 	17 	$208,692,051
121 	Andy Serkis 	$3,531,057,494 	9 	$392,339,722
122 	Tommy Lee Jones 	$3,515,238,750 	27 	$130,194,028
123 	Woody Harrelson 	$3,502,310,821 	42 	$83,388,353
124 	Colin Firth 	$3,499,037,992 	35 	$99,972,514
125 	Kate Winslet 	$3,485,506,608 	29 	$120,189,883
126 	Kristen Bell 	$3,484,387,762 	20 	$174,219,388
127 	James McAvoy 	$3,462,286,423 	21 	$164,870,782
128 	Charlize Theron 	$3,453,250,922 	32 	$107,914,091
129 	Ben Kingsley 	$3,439,797,998 	22 	$156,354,454
130 	Rachel McAdams 	$3,416,879,540 	23 	$148,559,980
131 	Chris Rock 	$3,415,955,462 	22 	$155,270,703
132 	Matthew McConaughey 	$3,344,455,874 	30 	$111,481,862
133 	Henry Cavill 	$3,329,877,412 	11 	$302,716,128
134 	Oscar Isaac 	$3,307,271,178 	23 	$143,794,399
135 	Denis Leary 	$3,292,639,913 	9 	$365,848,879
136 	Kevin Costner 	$3,288,113,936 	40 	$82,202,848
137 	Ray Romano 	$3,278,194,617 	10 	$327,819,462
138 	Chris Pine 	$3,275,689,356 	20 	$163,784,468
139 	Jon Hamm 	$3,225,432,659 	17 	$189,731,333
140 	Will Ferrell 	$3,222,338,829 	37 	$87,090,239
141 	Jamie Foxx 	$3,211,811,667 	31 	$103,606,828
142 	Tobey Maguire 	$3,201,849,585 	11 	$291,077,235
143 	Reese Witherspoon 	$3,182,612,037 	36 	$88,405,890
144 	Gerard Butler 	$3,175,156,464 	30 	$105,838,549
145 	John Goodman 	$3,162,170,158 	22 	$143,735,007
146 	Antonio Banderas 	$3,146,698,365 	31 	$101,506,399
147 	Carrie Fisher 	$3,131,688,290 	7 	$447,384,041
148 	Bill Murray 	$3,077,319,569 	35 	$87,923,416
149 	Zendaya 	$3,067,028,524 	9 	$340,780,947
150 	Kevin James 	$3,052,167,827 	16 	$190,760,489
151 	Alan Tudyk 	$2,987,122,326 	9 	$331,902,481
152 	Kristen Wiig 	$2,977,202,858 	19 	$156,694,887
153 	Ben Mendelsohn 	$2,941,897,894 	12 	$245,158,158
154 	Jackie Chan 	$2,941,321,978 	37 	$79,495,189
155 	Bryce Dallas Howard 	$2,936,907,593 	8 	$367,113,449
156 	Michael Fassbender 	$2,934,722,563 	25 	$117,388,903
157 	Dustin Hoffman 	$2,895,370,827 	33 	$87,738,510
158 	Emma Thompson 	$2,891,440,463 	19 	$152,181,077
159 	Sacha Baron Cohen 	$2,851,019,519 	10 	$285,101,952
160 	Jake Gyllenhaal 	$2,849,718,290 	31 	$91,926,396
161 	Amy Adams 	$2,821,845,250 	20 	$141,092,263
162 	Javier Bardem 	$2,806,721,668 	21 	$133,653,413
163 	Terry Notary 	$2,803,515,200 	2 	$1,401,757,600
164 	Richard Gere 	$2,781,371,714 	45 	$61,808,260
165 	Queen Latifah 	$2,741,665,212 	18 	$152,314,734
166 	Tom Hardy 	$2,716,318,549 	18 	$150,906,586
167 	Gal Gadot 	$2,710,439,808 	9 	$301,159,979
168 	Idina Menzel 	$2,706,364,732 	2 	$1,353,182,366
169 	Emily Blunt 	$2,681,843,728 	27 	$99,327,545
170 	Michael Caine 	$2,629,106,959 	33 	$79,669,908
171 	Robert Redford 	$2,626,192,062 	32 	$82,068,502
172 	Michael Peña 	$2,608,914,884 	20 	$130,445,744
173 	Jada Pinkett Smith 	$2,603,740,196 	10 	$260,374,020
174 	Patrick Stewart 	$2,594,412,614 	17 	$152,612,507
175 	Willem Dafoe 	$2,584,639,667 	35 	$73,846,848
176 	Ezra Miller 	$2,566,166,741 	10 	$256,616,674
177 	Zach Galifianakis 	$2,559,392,650 	15 	$170,626,177
178 	Eddie Redmayne 	$2,545,950,386 	11 	$231,450,035
179 	Aaron Taylor-Johnson 	$2,522,207,907 	11 	$229,291,628
180 	Elijah Wood 	$2,518,111,516 	22 	$114,459,614
181 	Tilda Swinton 	$2,492,762,834 	24 	$103,865,118
182 	Florence Kasumba 	$2,478,057,516 	2 	$1,239,028,758
183 	Beyoncé Knowles 	$2,475,991,394 	8 	$309,498,924
184 	Jennifer Aniston 	$2,473,061,747 	31 	$79,776,185
185 	Helena Bonham Carter 	$2,467,302,886 	29 	$85,079,410
186 	Michael Keaton 	$2,460,980,246 	19 	$129,525,276
187 	Al Pacino 	$2,454,458,961 	44 	$55,783,158
188 	Clint Eastwood 	$2,448,609,703 	48 	$51,012,702
189 	Kevin Kline 	$2,445,476,266 	21 	$116,451,251
190 	Alec Baldwin 	$2,444,234,047 	27 	$90,527,187
191 	Tyrese Gibson 	$2,435,502,658 	14 	$173,964,476
192 	Kurt Russell 	$2,435,486,975 	37 	$65,823,972
193 	Emma Stone 	$2,429,957,588 	16 	$151,872,349
194 	Amanda Seyfried 	$2,421,775,340 	23 	$105,294,580
195 	Jack Nicholson 	$2,416,869,857 	30 	$80,562,329
196 	Anthony Daniels 	$2,404,403,138 	3 	$801,467,713
197 	Jonah Hill 	$2,401,025,287 	19 	$126,369,752
198 	Alan Rickman 	$2,375,142,756 	9 	$263,904,751
199 	Dennis Quaid 	$2,374,611,407 	50 	$47,492,228
200 	Zac Efron 	$2,350,634,467 	26 	$90,409,018
201 	Jesse Eisenberg 	$2,323,925,714 	22 	$105,632,987
202 	Rami Malek 	$2,316,724,399 	9 	$257,413,822
203 	Rowan Atkinson 	$2,314,762,981 	9 	$257,195,887
204 	Penélope Cruz 	$2,301,557,906 	22 	$104,616,268
205 	Steve Martin 	$2,299,444,970 	36 	$63,873,471
206 	Jeff Bridges 	$2,296,819,085 	26 	$88,339,196
207 	Jason Momoa 	$2,277,916,068 	12 	$189,826,339
208 	Margot Robbie 	$2,269,583,978 	19 	$119,451,788
209 	Salma Hayek 	$2,259,538,894 	27 	$83,686,626
210 	John Cusack 	$2,249,636,122 	59 	$38,129,426
211 	David Spade 	$2,249,215,653 	15 	$149,947,710
212 	Donnie Yen 	$2,229,616,371 	20 	$111,480,819
213 	Jason Bateman 	$2,215,366,836 	18 	$123,075,935
214 	Taron Egerton 	$2,180,170,962 	11 	$198,197,360
215 	Catherine Zeta-Jones 	$2,164,824,276 	19 	$113,938,120
216 	John C. Reilly 	$2,158,856,378 	19 	$113,624,020
217 	Billy Crystal 	$2,151,848,777 	16 	$134,490,549
218 	Chris ‘Ludacris’ Bridges 	$2,144,321,305 	5 	$428,864,261
219 	Michael B. Jordan 	$2,142,880,458 	17 	$126,051,792
220 	Rachel Weisz 	$2,142,686,331 	26 	$82,411,013
221 	Karl Urban 	$2,124,949,005 	11 	$193,177,182
222 	Jordana Brewster 	$2,116,142,208 	9 	$235,126,912
223 	Bill Hader 	$2,110,699,879 	11 	$191,881,807
224 	Justin Long 	$2,108,532,061 	25 	$84,341,282
225 	Matthew Broderick 	$2,103,107,714 	19 	$110,689,880
226 	Annette Bening 	$2,101,943,234 	24 	$87,580,968
227 	Eva Green 	$2,092,067,332 	17 	$123,062,784
228 	Benicio del Toro 	$2,081,383,081 	17 	$122,434,299
229 	Forest Whitaker 	$2,064,103,574 	29 	$71,175,985
230 	Eric Andre 	$2,051,733,899 	5 	$410,346,780
231 	Hugh Grant 	$2,050,274,551 	15 	$136,684,970
232 	Julie Walters 	$2,046,251,872 	11 	$186,022,897
233 	Donald Glover 	$2,045,013,813 	4 	$511,253,453
234 	Danny DeVito 	$2,043,348,764 	24 	$85,139,532
235 	Holly Hunter 	$2,038,296,403 	9 	$226,477,378
236 	Demi Moore 	$2,030,513,707 	27 	$75,204,211
237 	Michelle Williams 	$2,029,834,080 	21 	$96,658,766
238 	Jay Baruchel 	$2,025,930,517 	15 	$135,062,034
239 	Michael J. Fox 	$2,005,162,263 	21 	$95,483,917
240 	Nathalie Emmanuel 	$1,991,145,322 	4 	$497,786,331
241 	Luke Evans 	$1,982,755,198 	14 	$141,625,371
242 	Jennifer Lopez 	$1,980,751,783 	27 	$73,361,177
243 	Ellen DeGeneres 	$1,973,906,048 	3 	$657,968,683
244 	Jet Li 	$1,969,938,859 	14 	$140,709,919
245 	Tessa Thompson 	$1,969,376,248 	11 	$179,034,204
246 	Dolph Lundgren 	$1,962,192,605 	24 	$81,758,025
247 	Nick Jonas 	$1,949,717,482 	8 	$243,714,685
248 	Mads Mikkelsen 	$1,944,610,721 	14 	$138,900,766
249 	Kenneth Branagh 	$1,942,123,485 	13 	$149,394,114
250 	Laurence Fishburne 	$1,930,444,324 	23 	$83,932,362
251 	John Cena 	$1,927,524,953 	18 	$107,084,720
252 	Miles Teller 	$1,925,545,214 	16 	$120,346,576
253 	Dan Fogler 	$1,925,236,559 	9 	$213,915,173
254 	Riz Ahmed 	$1,922,041,324 	12 	$160,170,110
255 	Andy Samberg 	$1,915,534,834 	12 	$159,627,903
256 	David Schwimmer 	$1,907,262,116 	5 	$381,452,423
257 	Patrick Wilson 	$1,900,949,432 	20 	$95,047,472
258 	Craig T. Nelson 	$1,894,503,451 	3 	$631,501,150
259 	Daniel Kaluuya 	$1,890,924,402 	6 	$315,154,067
260 	Brendan Fraser 	$1,887,825,167 	17 	$111,048,539
261 	Renée Zellweger 	$1,877,643,376 	22 	$85,347,426
262 	Martin Lawrence 	$1,875,644,875 	16 	$117,227,805
263 	Drew Barrymore 	$1,874,761,768 	31 	$60,476,186
264 	Sarah Vowell 	$1,874,246,451 	2 	$937,123,226
265 	Albert Brooks 	$1,873,758,230 	6 	$312,293,038
266 	Will Arnett 	$1,872,916,083 	12 	$156,076,340
267 	T.J. Miller 	$1,868,545,301 	7 	$266,935,043
268 	Alison Sudol 	$1,864,739,869 	3 	$621,579,956
